Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
HEROMOTOCO,EQ,2017-05-16,3515.45,3529.5,3631.8,3491.1,3623.0,3619.4,3561.42,372398,1326265605.95,33654,147610,39.64,2.9569471902601396,Positive
HEROMOTOCO,EQ,2017-05-17,3619.4,3615.0,3683.95,3595.05,3634.1,3645.95,3651.06,338342,1235308259.25,27003,160855,47.54,0.7335469967397756,Slight positive
HEROMOTOCO,EQ,2017-05-18,3645.95,3600.0,3639.0,3577.05,3586.0,3592.05,3602.46,294013,1059169584.35,23822,143430,48.78,-1.4783526927138246,Negative
HEROMOTOCO,EQ,2017-05-19,3592.05,3597.0,3656.0,3533.75,3565.0,3571.65,3593.06,270446,971728391.0,26291,113208,41.86,-0.5679208251555545,Slight negative
HEROMOTOCO,EQ,2017-05-22,3571.65,3596.75,3645.0,3550.95,3580.15,3562.45,3591.9,255829,918911777.8,22156,119621,46.76,-0.2575840297901588,Slight or No change
HEROMOTOCO,EQ,2017-05-23,3562.45,3593.9,3619.0,3550.0,3579.0,3585.0,3584.05,199447,714828089.4,27413,78193,39.2,0.6329913402293386,Slight positive
HEROMOTOCO,EQ,2017-05-24,3585.0,3585.0,3612.3,3527.2,3560.0,3567.6,3570.22,256025,914065392.85,39984,166139,64.89,-0.4853556485355681,Slight or No change
HEROMOTOCO,EQ,2017-05-25,3567.6,3567.6,3645.25,3527.15,3640.0,3625.85,3588.29,253648,910162981.05,31288,124004,48.89,1.6327503083305217,Positive
HEROMOTOCO,EQ,2017-05-26,3625.85,3626.1,3660.1,3605.6,3620.0,3618.4,3636.04,193039,701897907.85,21195,85002,44.03,-0.20546906242673302,Slight or No change
HEROMOTOCO,EQ,2017-05-29,3618.4,3621.9,3678.45,3590.55,3675.0,3665.8,3641.01,211133,768738284.25,16843,68418,32.41,1.3099712580145972,Positive
HEROMOTOCO,EQ,2017-05-30,3665.8,3660.0,3748.0,3660.0,3736.0,3740.35,3710.5,347224,1288374717.15,22493,171293,49.33,2.03366250204593,Positive
HEROMOTOCO,EQ,2017-05-31,3740.35,3735.0,3762.0,3721.2,3760.0,3745.45,3741.86,424001,1586554078.15,49480,273792,64.57,0.13635087625489817,Slight or No change
HEROMOTOCO,EQ,2017-06-01,3745.45,3742.0,3815.0,3708.8,3730.0,3733.35,3776.56,451621,1705571882.15,37325,279018,61.78,-0.3230586444886385,Slight or No change
HEROMOTOCO,EQ,2017-06-02,3733.35,3758.8,3857.5,3750.0,3849.95,3849.75,3827.99,570351,2183296767.4,35344,275420,48.29,3.117843223914174,Among top gainers
HEROMOTOCO,EQ,2017-06-05,3849.75,3850.0,3880.55,3821.25,3830.55,3834.95,3847.29,181146,696921627.7,21548,70089,38.69,-0.384440548087539,Slight or No change
HEROMOTOCO,EQ,2017-06-06,3834.95,3844.0,3844.0,3785.05,3803.15,3799.95,3803.95,119591,454918762.75,8696,39881,33.35,-0.9126585744273052,Slight negative
HEROMOTOCO,EQ,2017-06-07,3799.95,3803.85,3856.05,3803.85,3841.0,3843.25,3844.22,426059,1637862448.85,44951,294488,69.12,1.139488677482614,Positive
HEROMOTOCO,EQ,2017-06-08,3843.25,3847.0,3859.0,3778.25,3783.95,3784.45,3800.49,256253,973887835.25,35814,167153,65.23,-1.529955116112669,Negative
HEROMOTOCO,EQ,2017-06-09,3784.45,3796.3,3800.5,3755.6,3786.0,3780.1,3779.46,302560,1143513647.5,19861,198672,65.66,-0.11494404735166164,Slight or No change
HEROMOTOCO,EQ,2017-06-12,3780.1,3777.0,3790.0,3760.35,3771.05,3773.25,3779.97,182605,690242211.0,17760,117935,64.58,-0.18121213724504592,Slight or No change
HEROMOTOCO,EQ,2017-06-13,3773.25,3780.0,3785.35,3742.25,3751.0,3752.5,3765.91,212476,800166535.5,16843,128289,60.38,-0.549923805737762,Slight negative
HEROMOTOCO,EQ,2017-06-14,3752.5,3764.0,3808.0,3751.05,3781.3,3789.05,3788.77,374661,1419506200.95,39825,260012,69.4,0.9740173217854808,Slight positive
HEROMOTOCO,EQ,2017-06-15,3789.05,3786.0,3820.0,3760.0,3774.0,3777.7,3785.08,163019,617039697.15,14888,94856,58.19,-0.2995473799501269,Slight or No change
HEROMOTOCO,EQ,2017-06-16,3777.7,3798.0,3798.0,3757.8,3780.0,3783.55,3780.53,229485,867574013.0,20613,161061,70.18,0.1548561293909012,Slight or No change
HEROMOTOCO,EQ,2017-06-19,3783.55,3790.0,3834.0,3790.0,3830.0,3825.45,3821.75,176591,674886161.8,22384,76227,43.17,1.1074255659367482,Positive
HEROMOTOCO,EQ,2017-06-20,3825.45,3829.0,3846.9,3781.0,3786.0,3797.0,3806.82,235259,895588945.7,34610,122496,52.07,-0.7437033551608296,Slight negative
HEROMOTOCO,EQ,2017-06-21,3797.0,3805.0,3809.8,3756.0,3765.0,3769.25,3773.21,253054,954826784.8,30240,205141,81.07,-0.7308401369502282,Slight negative
HEROMOTOCO,EQ,2017-06-22,3769.25,3770.0,3788.3,3717.55,3721.65,3730.7,3758.12,272211,1023001975.0,22996,185201,68.04,-1.0227498839291638,Negative
HEROMOTOCO,EQ,2017-06-23,3730.7,3725.0,3730.05,3650.0,3650.55,3660.1,3676.28,371113,1364314798.65,43755,260537,70.2,-1.8924062508376416,Negative
